site,time,value
TRGW-0-3-8,4035.5,37.606130388470866
TRGW-0-3-8,4036.5,37.550186888795984
TRGW-0-3-8,4037.5,37.6323755537133
TRGW-0-3-8,4038.5,37.394003093964095
TRGW-0-3-8,4039.5,37.41688716313943
TRGW-0-3-8,4040.5,37.570223767919735
TRGW-0-3-8,4041.5,37.55037576175498
TRGW-0-3-8,4042.5,37.530321561249835
TRGW-0-3-8,4043.5,37.42007923430219
TRGW-0-3-8,4044.5,37.408101610511046
TRGW-0-3-8,4045.5,37.592064736021264
TRGW-0-3-8,4046.5,37.4790468802716
TRGW-0-3-8,4047.5,37.55015199437906
TRGW-0-3-8,4048.5,37.64786463787207
TRGW-0-3-8,4049.5,37.39778711701933
TRGW-0-3-8,4050.5,37.54844893171179
TRGW-0-3-8,4051.5,37.48490278891539
TRGW-0-3-8,4052.5,37.61085485367254
TRGW-0-3-8,4053.5,37.718631178082774
TRGW-0-3-8,4054.5,37.48909901394731
TRGW-0-3-8,4055.5,37.63689191796722
TRGW-0-3-8,4056.5,37.5990234498519
TRGW-0-3-8,4057.5,37.813031861754425
TRGW-0-3-8,4058.5,37.67647361746811
TRGW-0-3-8,4059.5,37.42501405554336
TRGW-0-3-8,4060.5,37.489727814771776
TRGW-0-3-8,4061.5,37.47317349577097
TRGW-0-3-8,4062.5,37.62501294514035
TRGW-0-3-8,4063.5,37.68631222553875
TRGW-0-3-8,4064.5,37.73347022446932
TRGW-0-3-8,4065.5,37.49244615221136
TRGW-0-3-8,4066.5,37.50330832243005
TRGW-0-3-8,4067.5,37.70177786709737
TRGW-0-3-8,4068.5,37.56525610450181
TRGW-0-3-8,4069.5,37.58671046548793
TRGW-0-3-8,4070.5,37.42206913445168
TRGW-0-3-8,4071.5,37.5926577904991
TRGW-0-3-8,4072.5,37.6974054230419
TRGW-0-3-8,4073.5,37.50973099676994
TRGW-0-3-8,4074.5,37.512574376646505
TRGW-0-3-8,4075.5,37.443239392776874
TRGW-0-3-8,4076.5,37.417531962161355
TRGW-0-3-8,4077.5,37.53036915469186
TRGW-0-3-8,4078.5,37.511450807533265
TRGW-0-3-8,4079.5,37.58396627793903
TRGW-0-3-8,4080.5,37.62548948385671
TRGW-0-3-8,4081.5,37.32222795567942
TRGW-0-3-8,4082.5,37.50082934026223
TRGW-0-3-8,4083.5,37.70644744635394
TRGW-0-3-8,4084.5,37.667320297133685
TRGW-0-3-8,4085.5,37.597467779747994
TRGW-0-3-8,4086.5,37.6943526919365
TRGW-0-3-8,4087.5,37.553862423670985
TRGW-0-3-8,4088.5,37.94657942252132
TRGW-0-3-8,4089.5,37.51479549339875
TRGW-0-3-8,4090.5,37.631800878106766
TRGW-0-3-8,4091.5,37.72459027697021
TRGW-0-3-8,4092.5,37.45208006731414
TRGW-0-3-8,4093.5,37.59723261162563
TRGW-0-3-8,4094.5,37.708969373185795
TRGW-0-3-8,4095.5,37.55543142642935
TRGW-0-3-8,4096.5,37.64245610877458
TRGW-0-3-8,4097.5,37.84230162428442
TRGW-0-3-8,4098.5,37.51796700413915
TRGW-0-3-8,4099.5,37.6983178555408
TRGW-0-3-8,4100.5,37.6072537792045
TRGW-0-3-8,4101.5,37.60901123069984
TRGW-0-3-8,4102.5,37.69412115871001
TRGW-0-3-8,4103.5,37.63548459925051
TRGW-0-3-8,4104.5,37.7564356302243
TRGW-0-3-8,4105.5,37.766318445447006
TRGW-0-3-8,4106.5,37.860540392014194
TRGW-0-3-8,4107.5,37.784608119888986
TRGW-0-3-8,4108.5,37.545043229485685
TRGW-0-3-8,4109.5,37.55626883193738
TRGW-0-3-8,4110.5,37.49608945571575
TRGW-0-3-8,4111.5,37.70450047021589
TRGW-0-3-8,4112.5,37.57938450631628
TRGW-0-3-8,4113.5,37.52720911338815
TRGW-0-3-8,4114.5,37.936852043474936
TRGW-0-3-8,4115.5,37.733079922594726
TRGW-0-3-8,4116.5,37.716115161863485
TRGW-0-3-8,4117.5,37.596310519562614
TRGW-0-3-8,4118.5,37.66758979981575
TRGW-0-3-8,4119.5,37.76489306898429
TRGW-0-3-8,4120.5,37.613237535352695
TRGW-0-3-8,4121.5,37.93407687645321
TRGW-0-3-8,4122.5,37.7653667440908
TRGW-0-3-8,4123.5,37.80521183236446
TRGW-0-3-8,4124.5,37.73007700798028
TRGW-0-3-8,4125.5,37.68284830511356
TRGW-0-3-8,4126.5,37.71143893232541
TRGW-0-3-8,4127.5,37.86101606959576
TRGW-0-3-8,4128.5,37.78960369198444
TRGW-0-3-8,4129.5,37.95671535750197
TRGW-0-3-8,4130.5,37.79227806324564
TRGW-0-3-8,4131.5,37.95959719288359
TRGW-0-3-8,4132.5,37.64897056350037
TRGW-0-3-8,4133.5,37.86856027519024
TRGW-0-3-8,4134.5,37.83592696092886
TRGW-0-3-8,4135.5,37.84438515832239
TRGW-0-3-8,4136.5,37.76692225202624
TRGW-0-3-8,4137.5,37.739638139419206
TRGW-0-3-8,4138.5,37.766181368812454
TRGW-0-3-8,4139.5,37.612209915045106
TRGW-0-3-8,4140.5,37.941326249571574
TRGW-0-3-8,4141.5,37.8892159616633
TRGW-0-3-8,4142.5,37.86693199095167
TRGW-0-3-8,4143.5,37.855230395375735
TRGW-0-3-8,4144.5,37.92874167013963
TRGW-0-3-8,4145.5,37.90083671757752
TRGW-0-3-8,4146.5,37.775064190035636
TRGW-0-3-8,4147.5,37.85439569413184
TRGW-0-3-8,4148.5,37.9331584604639
TRGW-0-3-8,4149.5,37.68322965570703
TRGW-0-3-8,4150.5,37.785418666217076
TRGW-0-3-8,4151.5,38.082093996779456
TRGW-0-3-8,4152.5,37.90516459109488
TRGW-0-3-8,4153.5,37.730023620328765
TRGW-0-3-8,4154.5,37.98967588753084
TRGW-0-3-8,4155.5,37.863129161238945
TRGW-0-3-8,4156.5,38.106319506585635
TRGW-0-3-8,4157.5,37.883543266023786
TRGW-0-3-8,4158.5,38.07802273488345
TRGW-0-3-8,4159.5,37.81734675958437
TRGW-0-3-8,4160.5,37.93672663408781
TRGW-0-3-8,4161.5,37.94479569525544
TRGW-0-3-8,4162.5,37.77528356553524
TRGW-0-3-8,4163.5,37.842378851200124
TRGW-0-3-8,4164.5,38.026661395668306
TRGW-0-3-8,4165.5,37.953853604393615
TRGW-0-3-8,4166.5,37.95338654409823
TRGW-0-3-8,4167.5,37.69795217535926
TRGW-0-3-8,4168.5,37.968458535062496
TRGW-0-3-8,4169.5,37.828413040347016
TRGW-0-3-8,4170.5,37.945489786585355
TRGW-0-3-8,4171.5,37.84143167114194
TRGW-0-3-8,4172.5,37.874945821612506
TRGW-0-3-8,4173.5,37.96642678597864
TRGW-0-3-8,4174.5,37.91761402855734
TRGW-0-3-8,4175.5,38.00422443483366
TRGW-0-3-8,4176.5,37.82723724756167
TRGW-0-3-8,4177.5,37.71019376128916
TRGW-0-3-8,4178.5,38.15252047707483
TRGW-0-3-8,4179.5,38.24467690460725
TRGW-0-3-8,4180.5,37.810043775724196
TRGW-0-3-8,4181.5,37.92725226551231
TRGW-0-3-8,4182.5,37.93603705132424
TRGW-0-3-8,4183.5,37.80938123646062
TRGW-0-3-8,4184.5,37.87177920516632
TRGW-0-3-8,4185.5,38.02664993462885
TRGW-0-3-8,4186.5,37.95356570068443
TRGW-0-3-8,4187.5,38.10177066009417
TRGW-0-3-8,4188.5,38.11958397023793
TRGW-0-3-8,4189.5,37.948346891785434
TRGW-0-3-8,4190.5,38.029882673202266
TRGW-0-3-8,4191.5,38.09273580353858
TRGW-0-3-8,4192.5,38.00063499770514
TRGW-0-3-8,4193.5,37.91421201232571
TRGW-0-3-8,4194.5,37.96132446637733
TRGW-0-3-8,4195.5,38.040659679129966
TRGW-0-3-8,4196.5,37.93870790657226
TRGW-0-3-8,4197.5,37.82620633815563
TRGW-0-3-8,4198.5,38.06001068654241
TRGW-0-3-8,4199.5,38.19405384324742
TRGW-0-3-8,4200.5,37.97102891469592
TRGW-0-3-8,4201.5,37.948910940573214
TRGW-0-3-8,4202.5,37.86029011997025
TRGW-0-3-8,4203.5,37.95116118920232
TRGW-0-3-8,4204.5,38.26187292733893
TRGW-0-3-8,4205.5,38.062578585664866
TRGW-0-3-8,4206.5,37.87997728170586
TRGW-0-3-8,4207.5,38.10427362363886
TRGW-0-3-8,4208.5,38.04795626738728
TRGW-0-3-8,4209.5,38.02318106345412
TRGW-0-3-8,4210.5,37.97546260730327
TRGW-0-3-8,4211.5,38.11178391001359
TRGW-0-3-8,4212.5,37.90187861848058
TRGW-0-3-8,4213.5,37.9034471257194
TRGW-0-3-8,4214.5,37.96213853439227
TRGW-0-3-8,4215.5,38.12526181300421
TRGW-0-3-8,4216.5,38.05447979688141
TRGW-0-3-8,4217.5,37.94173219730706
TRGW-0-3-8,4218.5,37.856036122210405
TRGW-0-3-8,4219.5,38.06186482156482
TRGW-0-3-8,4220.5,38.17597857079949
TRGW-0-3-8,4221.5,38.06790646849143
TRGW-0-3-8,4222.5,38.10244049192647
TRGW-0-3-8,4223.5,38.20478639969864
TRGW-0-3-8,4224.5,38.23225540497374
TRGW-0-3-8,4225.5,38.021922047555016
TRGW-0-3-8,4226.5,38.02150931264835
TRGW-0-3-8,4227.5,37.922852971277024
TRGW-0-3-8,4228.5,38.01744705874148
TRGW-0-3-8,4229.5,38.2037818850912
TRGW-0-3-8,4230.5,38.03505031595472
TRGW-0-3-8,4231.5,37.92521601438867
TRGW-0-3-8,4232.5,38.113908919982556
TRGW-0-3-8,4233.5,37.968009503704856
TRGW-0-3-8,4234.5,38.09399498753071
TRGW-0-3-8,4235.5,37.96614637124449
TRGW-0-3-8,4236.5,37.87442746462664
TRGW-0-3-8,4237.5,37.983729904585964
TRGW-0-3-8,4238.5,38.02960220169382
TRGW-0-3-8,4239.5,38.161475855148296
TRGW-0-3-8,4240.5,37.876245681536275
TRGW-0-3-8,4241.5,38.05943409764507
TRGW-0-3-8,4242.5,38.18009323413157
TRGW-0-3-8,4243.5,38.02332860428357
TRGW-0-3-8,4244.5,38.066773958563125
