parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:4_x:1125.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,4,1125.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:5_x:1375.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,5,1375.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:6_x:1625.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,6,1625.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:7_x:1875.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,7,1875.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:8_x:2125.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,8,2125.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:9_x:2375.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,9,2375.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:10_x:2625.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,10,2625.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:11_x:2875.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,11,2875.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:12_x:3125.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,12,3125.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:13_x:3375.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,13,3375.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:14_x:3625.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,14,3625.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:15_x:3875.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,15,3875.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:16_x:4125.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,16,4125.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:17_x:4375.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,17,4375.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:18_x:4625.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,18,4625.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:3_j:19_x:4875.00_y:9125.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,3,19,4875.00,9125.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:0_x:125.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,0,125.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:1_x:375.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,1,375.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:2_x:625.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,2,625.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:3_x:875.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,3,875.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:4_x:1125.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,4,1125.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:5_x:1375.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,5,1375.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:6_x:1625.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,6,1625.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:7_x:1875.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,7,1875.00,8875.00,1,,,,
